Date/Heure;Utilisateur;Retrait;Dépôt;Encaissement;Crédit client;Ecart;Total;Commentaires
2026-07-29 12:13:31;Ange Ines;0.00;0.00;0.00;;100.00;27500.00;
2026-07-29 12:13:09;Ange Ines;2000.00;0.00;0.00;0;0.00;0.00;Salaire de juillet il reste 0
2026-07-29 12:12:15;Ange Ines;0.00;0.00;2500.00;;0.00;29400.00;
2026-07-23 12:46:05;Ange Ines;0.00;0.00;3490.00;;10.00;26900.00;
2026-07-21 12:26:52;Ange Ines;0.00;0.00;1400.00;;0.00;23400.00;
2026-07-21 06:34:29;Ange Ines;0.00;0.00;10050.00;;-50.00;22000.00;
2026-07-18 21:21:50;Ange Ines;0.00;0.00;10500.00;;0.00;12000.00;
2026-07-18 16:11:25;Ange Ines;1000.00;0.00;0.00;0;0.00;0.00;Forfait internet 
2026-07-17 16:13:16;Ange Ines;3000.00;0.00;0.00;0;0.00;0.00;Salaire de juillet il reste 2000
2026-07-17 16:12:20;Ange Ines;15000.00;0.00;0.00;0;0.00;0.00;Les RL-1800 
2026-07-17 16:11:53;Ange Ines;37000.00;0.00;0.00;0;0.00;0.00;Nouvelle marchandise 
2026-07-15 11:26:38;Ange Ines;0.00;0.00;8000.00;;0.00;57500.00;
2026-07-12 17:31:40;Ange Ines;0.00;0.00;4500.00;;0.00;49500.00;
2026-07-03 22:34:27;Ange Ines;0.00;0.00;2600.00;;-100.00;45000.00;
2026-07-03 14:29:37;Ange Ines;0.00;0.00;2000.00;;100.00;42500.00;
2026-07-02 16:37:23;Ange Ines;0.00;0.00;4900.00;;0.00;40400.00;
2026-07-01 22:51:30;Ange Ines;13000.00;0.00;0.00;0;0.00;0.00;Commende sur shein 
2026-07-01 12:31:47;Ange Ines;0.00;0.00;6480.00;;20.00;48500.00;
