Date/Heure;Utilisateur;Retrait;Dépôt;Encaissement;Crédit client;Ecart;Total;Commentaires
2026-06-30 18:20:39;Ange Ines;0.00;0.00;4000.00;;0.00;42000.00;
2026-06-27 14:35:56;Ange Ines;0.00;0.00;1990.00;;10.00;38000.00;
2026-06-20 21:06:02;Ange Ines;0.00;0.00;1000.00;;0.00;36000.00;
2026-06-20 21:05:34;Ange Ines;5300.00;0.00;0.00;0;0.00;0.00;Collant blessé 
2026-06-19 16:01:21;Ange Ines;0.00;0.00;4500.00;;0.00;40300.00;
2026-06-19 15:55:47;Ange Ines;0.00;0.00;3400.00;;0.00;35800.00;
2026-06-18 21:07:35;Ange Ines;0.00;0.00;11400.00;;0.00;32400.00;
2026-06-18 14:32:02;Ange Ines;5000.00;0.00;0.00;0;0.00;0.00;Salaire de juin 
2026-06-13 17:24:05;Ange Ines;0.00;0.00;990.00;;10.00;26000.00;
2026-06-13 17:11:20;Ange Ines;0.00;0.00;18500.00;;0.00;25000.00;
2026-06-12 16:51:46;Ange Ines;0.00;0.00;15000.00;;0.00;6500.00;
2026-06-12 16:51:31;Ange Ines;45000.00;0.00;0.00;0;0.00;0.00;Nouvelle marchandise transport 2000 sac de livraison 1500
2026-06-11 16:32:42;Ange Ines;0.00;0.00;0.00;;0.00;36500.00;
2026-06-03 20:11:46;Ange Ines;0.00;0.00;9050.00;;-50.00;36500.00;
