Date/Heure;Utilisateur;Retrait;Dépôt;Encaissement;Crédit client;Ecart;Total;Commentaires
2026-05-28 11:32:05;Ange Ines;2500.00;0.00;0.00;0;0.00;0.00;Tapis pour la boutique aménagement 
2026-05-27 12:28:33;Ange Ines;0.00;0.00;8320.00;;-20.00;30000.00;
2026-05-27 12:25:51;Ange Ines;5000.00;0.00;0.00;0;0.00;0.00;Salaire de Mai
2026-05-27 12:25:31;Ange Ines;0.00;3000.00;0.00;0;0.00;0.00;Wifi 3000. 
2026-05-20 19:01:54;Ange Ines;0.00;0.00;6980.00;;20.00;23700.00;
2026-05-18 10:20:28;Ange Ines;0.00;0.00;5000.00;;0.00;16700.00;
2026-05-15 11:16:24;Ange Ines;0.00;3000.00;0.00;0;0.00;0.00;Wifi Marcellin 
2026-05-14 16:04:57;Ange Ines;0.00;5000.00;0.00;0;0.00;0.00;Complet vendu
2026-05-05 21:21:18;Ange Ines;3000.00;0.00;0.00;0;0.00;0.00;Ads  de Facebook 
2026-05-04 16:16:29;Ange Ines;2000.00;0.00;0.00;0;0.00;0.00;Pour apprendre Facebook viral 
2026-05-01 15:06:27;Ange Ines;0.00;0.00;1050.00;;-50.00;8700.00;
